,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
134,Taylor Fritz,Alexander Bublik,-0.10471544715447154,-0.09447154471544716,0.04861788617886176,-0.12861788617886183,0.08276422764227642,-0.25,player2,0,1,1,0,0,1,0
135,Daniel Evans,Juan Ignacio Londero,0.008211143695014661,-0.06451612903225806,0.09002932551319642,0.10175953079178884,0.022580645161290325,0.11111111111111105,player1,0,1,1,0,0,1,0
136,Sam Querrey,Gregoire Barrere,0.17517162471395878,0.031578947368421054,-0.0005720823798627261,0.07757437070938222,-0.04862700228832953,1.0,player1,0,1,1,0,0,1,0
137,Salvatore Caruso,Jan Lennard Struff,-0.0692967409948542,0.03842195540308748,-0.01921097770154373,-0.11560891938250428,-0.026758147512864483,-0.6,player2,0,1,1,0,0,1,0
138,Alex Bolt,Stephane Robert,0.08333333333333333,-0.016098484848484848,0.12405303030303039,0.14015151515151514,0.020833333333333315,-0.1507936507936508,player1,0,1,1,0,0,1,0
139,James Duckworth,Federico Delbonis,0.11798839458413928,-0.04564796905222437,0.1133462282398453,0.1288201160541586,-0.07040618955512573,1.0,player1,0,1,1,0,0,1,0
140,Benoit Paire,Ugo Humbert,0.09484822738858423,-0.021935583532864754,-0.015293118096856406,0.020699776009886484,-0.0011585695527921436,0.11363636363636365,player2,0,1,1,0,0,1,0
141,Hubert Hurkacz,Benoit Paire,-0.01796945193171609,-0.011006289308176112,0.09770889487870615,0.01347708894878702,-0.033917340521114114,-0.41666666666666663,player2,0,1,1,0,0,1,0
142,John Isner,Ugo Humbert,0.09073359073359075,-0.02654440154440154,0.09169884169884168,-0.12451737451737455,-0.06563706563706562,-0.1428571428571429,player2,0,1,1,0,0,1,0
143,Hubert Hurkacz,Feliciano Lopez,-0.05967486122125297,-0.045995241871530534,0.05194290245836641,0.03400079302141157,0.03380253766851707,-0.7,player1,0,1,1,0,0,1,0
